Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,TickerType,Description,Quarter,EntryPrice,ExitPrice,PercentChange,TransactionType,TradeAmount,PartyName,WeightedReturn
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,212.22000122070312,202.72000122070312,-4.476486639032791,purchase,15000.0,Republicans,-0.055723900070947595
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,CAH,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,127.58999633789062,136.64999389648438,7.100868264468463,purchase,15000.0,Republicans,0.08839255100998088
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,DLR,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,148.05999755859375,144.9499969482422,-2.1005002442478093,purchase,15000.0,Republicans,-0.02614730594499348
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,UPS,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,117.0,111.01000213623048,-5.119656293820112,purchase,15000.0,Republicans,-0.06373016133386032
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,167.3249969482422,164.0800018310547,-1.9393367257560796,purchase,15000.0,Republicans,-0.024141121067503067
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,122.73999786376952,111.43000030517578,-9.214598138698715,purchase,15000.0,Republicans,-0.11470454114562714
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,AMAT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,152.9499969482422,147.67999267578125,-3.4455733099780907,purchase,15000.0,Republicans,-0.042890954066117315
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,BX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,141.1199951171875,144.5,2.395128259468624,purchase,15000.0,Republicans,0.029814874599194487
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,CAT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,339.739990234375,339.29998779296875,-0.1295115247112085,purchase,15000.0,Republicans,-0.0016121766561561224
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,AAPL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,213.30999755859372,223.8500061035156,4.941169502393651,purchase,15000.0,Republicans,0.061508334054692755
Marjorie Taylor Greene,G000596,2025-03-19,2025-03-17,KMI,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-20,ST,,2025-Q1,27.040000915527344,28.229999542236328,4.4008823462193165,purchase,15000.0,Republicans,0.0547827677952612
Susie Lee,L000590,2025-03-14,2025-03-12,FLL,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2025-03-17,ST,,2025-Q1,4.260000228881836,4.230000019073486,0.7042302393543312,sale,50000.0,Democrats,0.1760575598385828
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-07,GS,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-10,ST,,2025-Q1,568.1699829101562,558.9199829101562,-1.6280339120735787,purchase,15000.0,Republicans,-0.02026598230796986
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-07,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-10,ST,,2025-Q1,344.5599975585937,366.55999755859375,6.384954770107582,purchase,15000.0,Republicans,0.07948076477312342
Rob Bresnahan,B001327,2025-03-27,2025-03-07,INTU,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,605.8599853515625,615.2999877929688,1.558116176946147,purchase,15000.0,Republicans,0.005311759694134592
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-07,DG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-10,ST,,2025-Q1,75.56999969482422,87.54000091552734,15.839620575680572,purchase,15000.0,Republicans,0.19717370011220628
Mikie Sherrill,S001207,2025-03-10,2025-03-07,UBS,Sale,"$250,001 - $500,000",Representatives,250001.0,D,2025-03-11,ST,,2025-Q1,33.689998626708984,31.90999984741211,5.283463496153768,sale,500000.0,Democrats,5.283463496153768
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-07,TSLA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-10,ST,,2025-Q1,259.32000732421875,273.1300048828125,5.325465513090007,purchase,15000.0,Republicans,0.0662921018226972
Rob Bresnahan,B001327,2025-03-27,2025-03-06,TSLA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,272.0599975585937,273.1300048828125,-0.3932982922225829,sale,15000.0,Republicans,-0.0013407896325769873
Rob Bresnahan,B001327,2025-03-27,2025-03-05,SE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,135.64999389648438,133.57000732421875,-1.5333480765600918,purchase,15000.0,Republicans,-0.00522732298827304
Rob Bresnahan,B001327,2025-03-27,2025-03-04,ZM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,73.95999908447266,76.77999877929688,3.812871457182395,purchase,15000.0,Republicans,0.01299842542221271
Rob Bresnahan,B001327,2025-03-27,2025-03-04,BABA,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2025-03-28,ST,,2025-Q1,129.60000610351562,135.6300048828125,-4.652776616754573,sale,50000.0,Republicans,-0.05287246155402924
Rob Bresnahan,B001327,2025-03-27,2025-03-04,CRDO,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,49.0099983215332,42.43000030517578,13.425827875342758,sale,15000.0,Republicans,0.04576986775685031
Rob Bresnahan,B001327,2025-03-27,2025-03-04,TWLO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,114.01000213623048,101.81999969482422,-10.692046498552315,purchase,15000.0,Republicans,-0.036450158517791986
Rob Bresnahan,B001327,2025-03-27,2025-03-04,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,644.9362031172728,602.5800170898438,-6.567500137641861,purchase,15000.0,Republicans,-0.022389205014688163
Rob Bresnahan,B001327,2025-03-27,2025-03-03,TSM,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,180.446936265116,168.24000549316406,6.764831270960057,sale,15000.0,Republicans,0.02306192478736383
Gilbert Cisneros,C001123,2025-03-06,2025-03-03,HLMN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,9.770000457763672,9.020000457763672,-7.676560541038839,purchase,15000.0,Democrats,-0.07428929555844038
William R. Keating,K000375,2025-03-21,2025-03-03,BJ,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-24,ST,,2025-Q1,101.70999908447266,112.4800033569336,-10.588933604764057,sale,15000.0,Democrats,-0.9626303277058234
Rob Bresnahan,B001327,2025-03-27,2025-03-03,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,178.6999969482422,156.97999572753906,-12.15444968753637,purchase,15000.0,Republicans,-0.04143562393478308
Rob Bresnahan,B001327,2025-03-27,2025-03-03,BABA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,134.00999450683594,135.6300048828125,1.2088728023146995,purchase,15000.0,Republicans,0.004121157280618294
Rob Bresnahan,B001327,2025-03-27,2025-03-03,NVDA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,123.49864257535764,111.43000030517578,9.772287385926278,sale,15000.0,Republicans,0.033314616088385034
Rob Bresnahan,B001327,2025-03-27,2025-03-03,INTC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,25.0,23.6200008392334,-5.519996643066406,purchase,15000.0,Republicans,-0.01881817037409002
Rob Bresnahan,B001327,2025-03-27,2025-03-03,TTWO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,212.88999938964844,214.2899932861328,0.6576137444211239,purchase,15000.0,Republicans,0.002241865037799286
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-03,IBIT,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2025-03-10,ST,,2025-Q1,52.970001220703125,49.43999862670898,-6.664154262119315,purchase,50000.0,Republicans,-0.2765209237393907
