Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,Quarter,TransactionType,TradeAmount,PartyName
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,CAH,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,DLR,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,UPS,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,AMAT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,BX,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,CAT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,AAPL,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/19/2025,3/17/2025,KMI,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Susie Lee,L000590,3/14/2025,3/12/2025,FLL,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,GS,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/7/2025,INTU,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,DG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Mikie Sherrill,S001207,3/10/2025,3/7/2025,UBS,Sale,"$250,001 - $500,000",Representatives,250001,D,2025-Q1,sale,500000,Democrats
Marjorie Taylor Greene,G000596,3/9/2025,3/7/2025,TSLA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/6/2025,TSLA,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/5/2025,SE,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/4/2025,ZM,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/4/2025,BABA,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/4/2025,CRDO,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/4/2025,TWLO,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/4/2025,META,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/3/2025,TSM,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Gilbert Cisneros,C001123,3/6/2025,3/3/2025,HLMN,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
William R. Keating,K000375,3/21/2025,3/3/2025,BJ,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,3/3/2025,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/3/2025,BABA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/3/2025,NVDA,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
