Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Republicans,Marjorie Taylor Greene,ABBV,purchase,"$15,000.00",15000.0,-4.476486639032791,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,CAH,purchase,"$15,000.00",15000.0,7.100868264468463,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,DLR,purchase,"$15,000.00",15000.0,-2.1005002442478093,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,UPS,purchase,"$15,000.00",15000.0,-5.119656293820112,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,GOOG,purchase,"$15,000.00",15000.0,-1.9393367257560796,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,NVDA,purchase,"$15,000.00",15000.0,-9.214598138698715,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,AMAT,purchase,"$15,000.00",15000.0,-3.4455733099780907,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,BX,purchase,"$15,000.00",15000.0,2.395128259468624,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,CAT,purchase,"$15,000.00",15000.0,-0.1295115247112085,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,AAPL,purchase,"$15,000.00",15000.0,4.941169502393651,2025-03-17
2025-Q1,Republicans,Marjorie Taylor Greene,KMI,purchase,"$15,000.00",15000.0,4.4008823462193165,2025-03-17
2025-Q1,Democrats,Susie Lee,FLL,sale,"$50,000.00",50000.0,0.7042302393543312,2025-03-12
2025-Q1,Republicans,Marjorie Taylor Greene,GS,purchase,"$15,000.00",15000.0,-1.6280339120735787,2025-03-07
2025-Q1,Republicans,Marjorie Taylor Greene,CRWD,purchase,"$15,000.00",15000.0,6.384954770107582,2025-03-07
2025-Q1,Republicans,Rob Bresnahan,INTU,purchase,"$15,000.00",15000.0,1.558116176946147,2025-03-07
2025-Q1,Republicans,Marjorie Taylor Greene,DG,purchase,"$15,000.00",15000.0,15.839620575680572,2025-03-07
2025-Q1,Democrats,Mikie Sherrill,UBS,sale,"$500,000.00",500000.0,5.283463496153768,2025-03-07
2025-Q1,Republicans,Marjorie Taylor Greene,TSLA,purchase,"$15,000.00",15000.0,5.325465513090007,2025-03-07
2025-Q1,Republicans,Rob Bresnahan,TSLA,sale,"$15,000.00",15000.0,-0.3932982922225829,2025-03-06
2025-Q1,Republicans,Rob Bresnahan,SE,purchase,"$15,000.00",15000.0,-1.5333480765600918,2025-03-05
2025-Q1,Republicans,Rob Bresnahan,ZM,purchase,"$15,000.00",15000.0,3.812871457182395,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,BABA,sale,"$50,000.00",50000.0,-4.652776616754573,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,CRDO,sale,"$15,000.00",15000.0,13.425827875342758,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,TWLO,purchase,"$15,000.00",15000.0,-10.692046498552315,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,META,purchase,"$15,000.00",15000.0,-6.567500137641861,2025-03-04
2025-Q1,Republicans,Rob Bresnahan,TSM,sale,"$15,000.00",15000.0,6.764831270960057,2025-03-03
2025-Q1,Democrats,Gilbert Cisneros,HLMN,purchase,"$15,000.00",15000.0,-7.676560541038839,2025-03-03
2025-Q1,Democrats,William R. Keating,BJ,sale,"$15,000.00",15000.0,-10.588933604764057,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,SNOW,purchase,"$15,000.00",15000.0,-12.15444968753637,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,BABA,purchase,"$15,000.00",15000.0,1.2088728023146995,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,NVDA,sale,"$15,000.00",15000.0,9.772287385926278,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,INTC,purchase,"$15,000.00",15000.0,-5.519996643066406,2025-03-03
2025-Q1,Republicans,Rob Bresnahan,TTWO,purchase,"$15,000.00",15000.0,0.6576137444211239,2025-03-03
2025-Q1,Republicans,Marjorie Taylor Greene,IBIT,purchase,"$50,000.00",50000.0,-6.664154262119315,2025-03-03
2025-Q1,Democrats,Gilbert Cisneros,STRL,purchase,"$15,000.00",15000.0,-9.400650028670784,2025-03-03
2025-Q1,Republicans,Marjorie Taylor Greene,DG,purchase,"$15,000.00",15000.0,18.98871996554588,2025-03-03
2025-Q1,Republicans,Marjorie Taylor Greene,PI,purchase,"$15,000.00",15000.0,-4.396166749522014,2025-03-03
2025-Q1,Republicans,A. Mitchell Jr. McConnell,WFC,purchase,"$15,000.00",15000.0,-8.343902840638531,2025-03-03
2025-Q1,Republicans,Mark Dr Green,NGL,sale,"$50,000.00",50000.0,-2.2075033112812825,2025-02-28
2025-Q1,Democrats,Josh Gottheimer,GS,sale,"$15,000.00",15000.0,8.040605617716997,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,RVTY,sale,"$50,000.00",50000.0,3.3582455813290237,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,7.491022211562159,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,LH,purchase,"$15,000.00",15000.0,-7.045699899537987,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,CPAY,purchase,"$50,000.00",50000.0,-2.721946065164449,2025-02-28
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,-1.3673158975928787,2025-02-28
2025-Q1,Democrats,Josh Gottheimer,XYZ,sale,"$15,000.00",15000.0,12.336563904362768,2025-02-27
2025-Q1,Democrats,Josh Gottheimer,FNA,sale,"$15,000.00",15000.0,0.0768066707391927,2025-02-27
2025-Q1,Democrats,April Mcclain Delaney,PAYX,purchase,"$15,000.00",15000.0,1.6605260302568443,2025-02-27
2025-Q1,Democrats,April Mcclain Delaney,LH,purchase,"$15,000.00",15000.0,-7.320879690519505,2025-02-27
2025-Q1,Republicans,Rob Bresnahan,ORCL,sale,"$15,000.00",15000.0,15.734104751851518,2025-02-27
2025-Q1,Democrats,April Mcclain Delaney,CACI,purchase,"$15,000.00",15000.0,14.435717381365889,2025-02-27
2025-Q1,Democrats,Josh Gottheimer,KKR,sale,"$15,000.00",15000.0,12.459970823405234,2025-02-27
2025-Q1,Republicans,Rob Bresnahan,ALAB,sale,"$15,000.00",15000.0,26.14678499796433,2025-02-27
2025-Q1,Democrats,Josh Gottheimer,BX,sale,"$15,000.00",15000.0,9.642320126001415,2025-02-27
2025-Q1,Republicans,Rob Bresnahan,TSLA,sale,"$15,000.00",15000.0,6.192470996195156,2025-02-27
2025-Q1,Republicans,Rob Bresnahan,INTC,purchase,"$15,000.00",15000.0,1.5914014590683805,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,AKAM,sale,"$15,000.00",15000.0,-4.403475026967056,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,UBER,purchase,"$15,000.00",15000.0,-0.6239230177601929,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,LUV,sale,"$15,000.00",15000.0,-12.27379691320232,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,DG,purchase,"$15,000.00",15000.0,12.001019465106843,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,UNH,sale,"$50,000.00",50000.0,-11.465405117234337,2025-02-26
2025-Q1,Democrats,Greg Landsman,AMP,purchase,"$15,000.00",15000.0,-5.206748708755687,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,WBA,sale,"$15,000.00",15000.0,1.238941070439481,2025-02-26
2025-Q1,Republicans,David H. McCormick,BITB,purchase,"$50,000.00",50000.0,1.543080203724129,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,KKR,sale,"$15,000.00",15000.0,9.931033781205102,2025-02-26
2025-Q1,Republicans,Scott Scott Franklin,AMZN,purchase,"$100,000.00",100000.0,-6.318043024474547,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,EPAC,purchase,"$15,000.00",15000.0,-0.1727818956277389,2025-02-26
2025-Q1,Republicans,John Boozman,ECL,purchase,"$15,000.00",15000.0,-4.625498646591198,2025-02-26
2025-Q1,Republicans,John Boozman,FTGC,sale,"$15,000.00",15000.0,1.5234561693796045,2025-02-26
2025-Q1,Republicans,Thomas H. Kean Jr,SYK,sale,"$50,000.00",50000.0,6.132034222088165,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,F,sale,"$15,000.00",15000.0,-4.651158336247619,2025-02-26
2025-Q1,Republicans,John Boozman,LITP,purchase,"$15,000.00",15000.0,-1.406252363230998,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,FI,purchase,"$15,000.00",15000.0,-5.485123568559077,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,PLTR,sale,"$15,000.00",15000.0,-1.043060383112649,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,BX,sale,"$15,000.00",15000.0,8.763735607334084,2025-02-26
2025-Q1,Republicans,John Boozman,TBLL,purchase,"$15,000.00",15000.0,0.3547134447412826,2025-02-26
2025-Q1,Democrats,Greg Landsman,NVDA,sale,"$15,000.00",15000.0,14.270142889057944,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,SNOW,purchase,"$15,000.00",15000.0,-5.433737513530685,2025-02-26
2025-Q1,Democrats,Greg Landsman,COST,sale,"$15,000.00",15000.0,10.607158387896332,2025-02-26
2025-Q1,Republicans,John Boozman,AXP,purchase,"$15,000.00",15000.0,-7.833578805742607,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,APP,sale,"$15,000.00",15000.0,20.327575962959333,2025-02-26
2025-Q1,Republicans,Rob Bresnahan,NVDA,purchase,"$15,000.00",15000.0,-14.270142889057944,2025-02-26
